"codigo";"nome_ascii";"nivel_ensino";"ano";"periodo";"capacidade_aluno";"local";"data_inicio";"data_fim";"codigo_turma";"descricao_horario";"observacao";"distancia";"tipo";"data_consolidacao";"agrupadora";"situacao_turma";"convenio";"modalidade_participantes";"campus_turma"
"PPG0004";"CURSO DE INICIACAO A DOCENCIA";"STRICTO SENSU";2017;1;45;"PPg";"2017-02-13";"2017-07-01";"04";"7T123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"DECM0008";"FORMACAO EM PESQUISA IV";"STRICTO SENSU";2017;1;1;"Sala do orientador";"2017-03-06";"2017-06-24";"05";"7M6";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PRO1308";"TOPICOS ESPECIAIS EM AUTOMACAO INDUSTRIAL I";"TÉCNICO";2017;1;-1;"";"2017-01-01";"2017-02-15";"01";"";"";"t";1;"";"f";"ABERTA";"";"Presencial";""
"PRO1309";"TOPICOS ESPECIAIS EM AUTOMACAO INDUSTRIAL II";"TÉCNICO";2017;1;-1;"";"2017-01-01";"2017-02-15";"01";"";"";"t";1;"";"f";"ABERTA";"";"Presencial";""
"PRO1310";"TOPICOS ESPECIAIS EM AUTOMACAO INDUSTRIAL III";"TÉCNICO";2017;1;-1;"";"2017-01-01";"2017-02-15";"01";"";"";"t";1;"";"f";"ABERTA";"";"Presencial";""
"DECM0006";"FORMACAO EM PESQUISA II";"STRICTO SENSU";2017;1;15;"Sala do orientador";"2017-03-06";"2017-06-24";"06";"7M5";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"LET2134";"LEITURAS ORIENTADAS EM LITERATURA COMPARADA VII";"STRICTO SENSU";2017;1;1;"sala do orientador";"2017-03-06";"2017-07-14";"02";"2T3";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PGEL033";"TOPICOS AVANCADOS EM LINGUISTICA APLICADA III";"STRICTO SENSU";2017;1;20;"setor 2, bloco A-3";"2017-03-06";"2017-07-14";"01";"6T234";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";""
"LET2130";"LEITURAS ORIENTADAS EM LITERATURA COMPARADA III";"STRICTO SENSU";2017;1;1;"sala do orientador";"2017-03-06";"2017-07-14";"07";"2T2";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"MAE0022";"ESTUDO DIRIGIDO";"STRICTO SENSU";2017;1;1;"A definir";"2017-03-06";"2017-07-21";"01";"7M12";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1121";"EMBALAGEM E ROTULAGEM DE ALIMENTOS";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.1";"5T123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"MAE0022";"ESTUDO DIRIGIDO";"STRICTO SENSU";2017;1;1;"A definir";"2017-03-06";"2017-07-21";"02";"7M12";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"MRN0013";"MATEMATICA E ATUALIDADE";"STRICTO SENSU";2017;1;20;"Setor 3";"2017-03-06";"2017-06-30";"01";"6T1234";"";"f";1;"";"f";"A DEFINIR DOCENTE";"";"Presencial";""
"LET2232";"LEITURAS ORIENTADAS EM LINGUISTICA APLICADA VII";"STRICTO SENSU";2017;1;1;"sala do orientador";"2017-03-06";"2017-07-14";"01";"2T1";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"MPI018";"PROBABILIDADE E ESTATISTICA DESCRITIVA PARA GESTORES";"STRICTO SENSU";2017;1;30;"ECT";"2017-01-02";"2017-12-29";"01";"5N123";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";""
"CIV2295";"ENGENHARIA DE RECURSOS HIDRICOS";"STRICTO SENSU";2017;1;20;"A definir";"2017-03-06";"2017-07-14";"01";"4T234";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";""
"PRO0800";"EMPREENDEDORISMO";"TÉCNICO";2017;1;-1;"";"2017-01-01";"2017-02-15";"01";"";"";"t";1;"2017-01-20 09:10:20.317";"f";"CONSOLIDADA";"";"Presencial";""
"CIV2301";"ENGENHARIA SANITARIA E AMBIENTAL";"STRICTO SENSU";2017;1;20;"A definir";"2017-03-06";"2017-07-14";"01";"3M123";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";""
"PRO1307";"TECNOLOGIA E CONTROLE AMBIENTAL";"TÉCNICO";2017;1;-1;"";"2017-01-01";"2017-01-31";"02";"";"";"t";1;"";"f";"EXCLUÍDA";"";"Presencial";""
"CIV2255";"HIDRAULICA DE SISTEMAS AMBIENTAIS";"STRICTO SENSU";2017;1;20;"A definir";"2017-03-06";"2017-07-14";"01";"4M456";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";""
"CLI4013";"TOPICOS ESPECIAIS EM QUIMICA E FISICA DA BAIXA ATMOSFERA";"STRICTO SENSU";2017;1;15;"3F4";"2017-03-06";"2017-07-21";"02";"3M3456";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"CIV2011";"SEMINARIOS";"STRICTO SENSU";2017;1;20;"A definir";"2017-03-06";"2017-07-14";"01";"3M456";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";""
"EAJ1124";"ANALISE SENSORIAL DE ALIMENTOS";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.1";"2T123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1120";"PROCESSAMENTO DE CARNE";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.1";"6T123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"AGR1202";"CONVERSACAO EM LINGUA INGLESA II";"FORMAÇÃO COMPLEMENTAR";2017;1;20;"2-i-10";"2017-03-04";"2017-07-01";"01";"35T56";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1118";"PROCESSAMENTO DE LEITE E DERIVADOS";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.1";"3T123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1128";"PROJETO INTEGRADOR TCC";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.1";"3T45";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1122";"TECNOLOGIA DE OLEOS E GORDURAS";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.1";"4T123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1111";"PROCESSAMENTO DE FRUTAS E HORTALICAS";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.2";"3T123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PRO0817";"DESENVOLVIMENTO GERENCIAL E INTERPESSOAL";"TÉCNICO";2017;1;-1;"";"2017-01-01";"2017-02-15";"01";"";"";"t";1;"2017-01-19 09:31:29.739";"f";"CONSOLIDADA";"";"Presencial";""
"EAJ1110";"ANALISE FISICO-QUIMICA DE ALIMENTOS";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.2";"5T123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PPG0004";"CURSO DE INICIACAO A DOCENCIA";"STRICTO SENSU";2017;1;45;"PPg";"2017-02-13";"2017-07-01";"02";"7T123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"MUT0110";"ANALISE MUSICAL I";"TÉCNICO";2017;1;30;"A definir";"2017-01-30";"2017-06-17";"01";"2T34";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";""
"EAJ1114";"ERGONOMIA E SEGURANCA DO TRABALHO";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.2";"2T45 5T4";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"MPEF0001";"TERMODINAMICA E MECANICA ESTATISTICA";"STRICTO SENSU";2017;1;16;"SALA 9-ECT";"2017-01-02";"2017-12-29";"01";"6N1234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"LET2134";"LEITURAS ORIENTADAS EM LITERATURA COMPARADA VII";"STRICTO SENSU";2017;1;1;"Sala do orientador";"2017-03-06";"2017-07-14";"08";"2T5";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PGEL057";"LEITURAS ORIENTADAS EM LINGUISTICA TEORICA E DESCRITIVA VII";"STRICTO SENSU";2017;1;1;"Sala do orientador";"2017-03-06";"2017-07-14";"03";"2T2";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"MUT0110";"ANALISE MUSICAL I";"TÉCNICO";2017;1;30;"A definir";"2017-01-30";"2017-06-17";"02";"4T34";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";""
"PGEL055";"LEITURAS ORIENTADAS EM LINGUISTICA TEORICA E DESCRITIVA V";"STRICTO SENSU";2017;1;1;"Sala do orientador";"2017-03-06";"2017-07-14";"08";"2T3";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1113";"MICROBIOLOGIA DE ALIMENTOS";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.2";"4T12";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"AGR1101";"LINGUA INGLESA PARA FINS ACADEMICOS I";"FORMAÇÃO COMPLEMENTAR";2017;1;20;"2-i-14";"2017-03-04";"2017-07-01";"01";"24T56";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"AGR1302";"PRONUNCIA EM LINGUA INGLESA II";"FORMAÇÃO COMPLEMENTAR";2017;1;20;"2-i-15";"2017-03-04";"2017-07-01";"01";"24T56";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1112";"PROCESSAMENTO DE PESCADO";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.2";"2T123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"MUT800";"INSTRUMENTO I";"TÉCNICO";2017;1;3;"Sala \"T\"";"2017-01-30";"2017-06-17";"30";"4T456";"Violino";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ0814";"QUIMICA E BIOQUIMICA DE ALIMENTOS";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.2";"4T45 5T5";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"DIM0937";"ESTAGIO DOCENCIA EM COMPUTACAO 2";"STRICTO SENSU";2017;1;3;"A definir";"2017-02-13";"2017-06-24";"03";"7M1234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1117";"TECNOLOGIA DE CEREAIS E PANIFICACAO";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.2";"3T45 6T4";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PPGP0014";"TEORIA GERAL DA ADMINISTRACAO PUBLICA";"STRICTO SENSU";2017;1;18;"Sala D4 do Setor V";"2017-04-06";"2017-07-07";"01";"5N123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PPGP0023";"SEMINARIO DE DISSERTACAO OU DE PROJETO DE INTERVENCAO";"STRICTO SENSU";2017;1;26;"Sala D4 do Setor V";"2017-04-06";"2017-07-07";"01";"6T234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PPGP0015";"INSTITUICOES POLITICAS BRASILEIRAS";"STRICTO SENSU";2017;1;18;"A definir";"2017-04-06";"2017-07-07";"01";"6T234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"LET0054";"ESTUDOS DIACRONICOS DA LINGUA PORTUGUESA";"GRADUAÇÃO";2017;1;20;"A definir";"2017-02-13";"2017-07-01";"02";"24N34";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";"Campus Central"
"PPGP0036";"TOPICOS ESPECIAIS EM GESTAO PUBLICA II";"STRICTO SENSU";2017;1;26;"Sala D4 do Setor V";"2017-06-13";"2017-06-30";"01";"56M345";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1115";"TECNOLOGIA DE PRODUTOS APICOLAS";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS16.2";"6T123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PPGP0040";"TOPICOS ESPECIAIS EM GESTAO PUBLICA IV";"STRICTO SENSU";2017;1;26;"Sala D4 do Setor V";"2017-04-06";"2017-07-07";"01";"7M3";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"DIM0837";"ESTAGIO DOCENCIA EM COMPUTACAO 1";"STRICTO SENSU";2017;1;3;"a definir";"2017-02-13";"2017-06-24";"03";"6M1234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"ESU0115";"ESTAGIO SUPERVISIONADO II";"TÉCNICO";2017;1;6;"CAMPO DE ESTÁGIO";"2017-04-04";"2017-05-31";"04";"23456M12345";"GRUPO $";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PPG2334";"TOPICOS ESPECIAIS EM TI: REDES SOCIAIS E ECONOMICAS";"LATO SENSU";2017;1;40;"Setor V - Sala D-2";"2017-02-08";"2017-02-11";"01";"7M2345  456N2345";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1108";"CIENCIAS INSTRUMENTAIS";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS17.1";"4M45";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1107";"GESTAO AGROINDUSTRIAL E AMBIENTAL";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS17.1";"3M5 5M12";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"ESU0115";"ESTAGIO SUPERVISIONADO II";"TÉCNICO";2017;1;6;"CAMPO DE ESTÁGIO";"2017-04-04";"2017-05-31";"05";"2345M12345";"GRUPO 5";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1106";"HIGIENE AGROINDUSTRIAL";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS17.1";"6M123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"ESU0115";"ESTAGIO SUPERVISIONADO II";"TÉCNICO";2017;1;6;"CAMPO DE ESTÁGIO";"2017-04-04";"2017-05-31";"06";"2345M12345";"GRUPO 6";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PAT0023";"PATOLOGIA GERAL PARA FARMACIA";"GRADUAÇÃO";2017;1;32;"Departamento de patologia";"2017-02-13";"2017-07-01";"06";"3T123";"Turma clonada a partir da turma 2017.1 - PAT0023 T02";"f";1;"";"f";"ABERTA";"";"Presencial";"Campus Central"
"MUT800";"INSTRUMENTO I";"TÉCNICO";2017;1;3;"Sala 04";"2017-02-13";"2017-06-17";"15";"3T456";"Piano";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1109";"MATEMATICA INSTRUMENTAL";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS17.1";"2M123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1105";"MATERIAS-PRIMAS DE ORIGEM ANIMAL";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS17.1";"4M123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"MUT0105";"APRECIACAO MUSICAL";"TÉCNICO";2017;1;30;"Sala 25";"2017-01-30";"2017-06-17";"01";"2T12";"Disciplina destinada aos ingressantes a partir de 2016.1.*Nova grade curricular.";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";""
"LET2132";"LEITURAS ORIENTADAS EM LITERATURA COMPARADA V";"STRICTO SENSU";2017;1;2;"sala do orientador";"2017-03-06";"2017-07-14";"09";"2T3";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ1103";"PRINCIPIOS DE TECNOLOGIA DE ALIMENTOS";"TÉCNICO";2017;1;40;"AGROINDÚSTRIA";"2017-02-13";"2017-07-01";"AIS17.1";"3M123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"MUT800";"INSTRUMENTO I";"TÉCNICO";2017;1;3;"Sala \"U\"";"2017-02-13";"2017-07-01";"37";"4T123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"DBQ2240";"SEMINARIOS DE ORIENTACAO DE DISSERTACAO I";"STRICTO SENSU";2017;1;5;"A definir";"2017-02-13";"2017-06-30";"02";"7T6";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"ECT2401";"COMPUTACAO NUMERICA";"GRADUAÇÃO";2017;1;25;"ECT";"2017-02-13";"2017-07-01";"02A";"35T34 (13/02/2017 - 31/03/2017), 3M34  35T34 (01/04/2017 - 01/07/2017)";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";"Campus Central"
"MUT0026";"VIOLAO ACOMPANHADOR";"TÉCNICO";2017;1;9;"A definir";"2017-01-30";"2017-06-17";"01";"";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";""
"PAT0023";"PATOLOGIA GERAL PARA FARMACIA";"GRADUAÇÃO";2017;1;30;"Departamento de patologia";"2017-02-13";"2017-07-01";"07";"2N1 6N34";"Turma clonada a partir da turma 2017.1 - PAT0023 T01";"f";1;"";"f";"ABERTA";"";"Presencial";"Campus Central"
"EAJ0840";"PISCICULTURA MARINHA";"TÉCNICO";2017;1;40;"AQUICULTURA";"2017-02-13";"2017-07-01";"AQS16.2";"3M123";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"DBQ2242";"SEMINARIOS DE ORIENTACAO DE TESE I";"STRICTO SENSU";2017;1;5;"A definir";"2017-02-13";"2017-06-30";"05";"7T1";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ0336";"AGRICULTURA ORGANICA";"TÉCNICO";2017;1;40;"AGROPECUÁRIA";"2017-02-13";"2017-07-01";"APS16.1";"45T12";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ0344";"BEM ESTAR E ETOLOGIA";"TÉCNICO";2017;1;40;"AGROPECUÁRIA";"2017-02-13";"2017-07-01";"APS16.1";"2M23";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"ADM2063";"MATURIDADE EM PROJETOS";"LATO SENSU";2017;1;50;"Setor V, Sala D3";"2017-02-01";"2017-02-04";"01";"7M2345  456N1234";"";"f";1;"2017-02-17 09:45:26.626";"f";"CONSOLIDADA";"";"Presencial";""
"DIM0837";"ESTAGIO DOCENCIA EM COMPUTACAO 1";"STRICTO SENSU";2017;1;3;"a definir";"2017-02-13";"2017-06-24";"08";"6M1234";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";""
"DIM0801";"ESTUDO ORIENTADO 1";"STRICTO SENSU";2017;1;5;"a definir";"2017-02-13";"2017-06-24";"09";"6N1234";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";""
"DGE1013";"QUANTIFICACAO EM GEOGRAFIA";"GRADUAÇÃO";2017;1;59;"2H10";"2017-02-13";"2017-07-01";"01";"6M3456";"";"f";1;"";"f";"ABERTA";"";"Presencial";"Campus Central"
"MUT800";"INSTRUMENTO I";"TÉCNICO";2017;1;3;"Sala 17 (Sala de Trombone)";"2017-02-13";"2017-06-17";"20";"3T123";"Trombone";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ4000";"ZOOTECNIA I";"TÉCNICO";2017;1;40;"AGROPECUÁRIA";"2017-02-13";"2017-07-01";"APS17.1";"2M23 4M12";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ0342";"BOVINOCULTURA";"TÉCNICO";2017;1;40;"AGROPECUÁRIA";"2017-02-13";"2017-07-01";"APS16.1";"2T123 3T1";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"DECM0006";"FORMACAO EM PESQUISA II";"STRICTO SENSU";2017;1;15;"Sala do orientador";"2017-03-06";"2017-06-24";"04";"7M5";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"DIM0837";"ESTAGIO DOCENCIA EM COMPUTACAO 1";"STRICTO SENSU";2017;1;3;"a definir";"2017-02-13";"2017-06-24";"09";"2M1234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PAT0700.1";"PATOLOGIA GERAL PARA ENFERMAGEM - PRATICA";"GRADUAÇÃO";2017;1;60;"Departamento de Patologia";"2017-02-13";"2017-07-01";"01B";"5M5 (13/02/2017 - 01/07/2017)";"Turma clonada a partir da turma 2017.1 - PAT0700.1 T01A";"f";1;"";"f";"ABERTA";"";"Presencial";"Campus Central"
"DPR0200";"DIREITO CIVIL I";"GRADUAÇÃO";2017;1;53;"1G4";"2017-02-13";"2017-07-01";"01";"246M12";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";"Campus Central"
"ECT1405";"MODELAGEM INTEGRADA";"GRADUAÇÃO";2017;1;-1;"";"2017-02-13";"2017-07-01";"01";"";"";"f";1;"";"t";"ABERTA";"";"Presencial";"Campus Central"
"ECT2401";"COMPUTACAO NUMERICA";"GRADUAÇÃO";2017;1;25;"ECT";"2017-02-13";"2017-07-01";"02C";"35T34 (13/02/2017 - 31/03/2017), 3M56  35T34 (01/04/2017 - 01/07/2017)";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";"Campus Central"
"MDM0013";"ESTAGIO A DOCENCIA";"STRICTO SENSU";2017;1;1;"Escola de Ciência e Tecnologia";"2017-03-06";"2017-07-14";"04";"7N234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PRO1256";"DESENHO TECNICO DO VESTUARIO";"TÉCNICO";2017;1;40;"Guararapes";"2017-02-24";"2017-04-05";"01";"246N234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"LET2092";"ORGANIZACAO DO TEXTO ESCRITO";"LATO SENSU";2017;1;70;"II, H2";"2017-02-04";"2017-02-18";"01";"7M2345  7T23456  7N1";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"PRO1260";"TEMPOS E METODOS DO PROCESSO PRODUTIVO";"TÉCNICO";2017;1;40;"Guararapes";"2017-02-23";"2017-05-04";"01";"35N234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"ADM2064";"PMBOK";"LATO SENSU";2017;1;50;"SALA D3 SETOR V";"2017-03-08";"2017-03-11";"01";"7M2345  456N1234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"MMU0013";"ESTUDOS EM CRIACAO E PERFORMANCE I";"STRICTO SENSU";2017;1;1;"A definir";"2017-02-16";"2017-07-01";"01";"5T564";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"DCT4207";"TOPICOS ESPECIAIS EM INFORMATICA NA EDUCACAO";"GRADUAÇÃO";2017;1;40;"LAB IMD";"2017-02-13";"2017-07-01";"01";"2M12 4M34";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";"Campus Caicó"
"DIM0837";"ESTAGIO DOCENCIA EM COMPUTACAO 1";"STRICTO SENSU";2017;1;3;"A definir";"2017-02-13";"2017-06-24";"18";"6M1234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"DIM0801";"ESTUDO ORIENTADO 1";"STRICTO SENSU";2017;1;5;"a definir";"2017-02-13";"2017-06-24";"21";"6N1234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"DLC0034";"TEXTO MULTIMODAL E ENSINO";"LATO SENSU";2017;1;10;"Campus da UFRN em Currais Novos";"2017-01-23";"2017-01-25";"01";"234M12345  234T12345";"";"f";1;"2017-02-11 17:34:24.046";"f";"CONSOLIDADA";"";"Presencial";""
"GGF2022";"SEMINARIO DE PESQUISA I";"STRICTO SENSU";2017;1;1;"PPGG";"2017-03-06";"2017-07-15";"02";"7M1234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"EAJ0343";"EQUIDEOCULTURA";"TÉCNICO";2017;1;40;"AGROPECUÁRIA";"2017-02-13";"2017-07-01";"APS16.1";"4M3  3T234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"ADM2066";"LIFECYCLE CANVAS";"LATO SENSU";2017;1;50;"SALA D3 SETOR 5";"2017-02-14";"2017-02-18";"01";"7M2345  345N1234";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"ESU0101";"SAUDE E SOCIEDADE";"TÉCNICO";2017;1;40;"SALA 17";"2017-02-15";"2017-03-13";"01";"26M12345 4M13452";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
"ECT2203";"LOGICA DE PROGRAMACAO";"GRADUAÇÃO";2017;1;25;"ECT";"2017-02-13";"2017-06-27";"06A";"5M56  35T12 (13/02/2017 - 27/06/2017)";"";"f";1;"";"f";"EXCLUÍDA";"";"Presencial";"Campus Central"
"MUT167";"PIANO COMPLEMENTAR III";"TÉCNICO";2017;1;7;"Sala 19";"2017-02-13";"2017-07-01";"01";"5T5";"";"f";1;"";"f";"ABERTA";"";"Presencial";""
